City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Georgetown,MY,2020-11-29 21:22:42,5.41,100.34,77.0,94,20,4.7
99,Hermanus,ZA,2020-11-29 21:24:23,-34.42,19.23,54.0,88,0,8.23
100,San Patricio,US,2020-11-29 21:24:24,28.02,-97.52,71.6,46,20,13.87
101,Komsomolskiy,UZ,2020-11-29 21:24:24,40.43,71.72,30.2,80,0,4.7
102,Provideniya,RU,2020-11-29 21:24:25,64.38,-173.3,21.2,67,0,13.42
103,Storforshei,NO,2020-11-29 21:24:25,66.4,14.52,37.0,91,75,2.24
104,Fatehpur,IN,2020-11-29 21:24:26,25.93,80.8,61.11,46,0,2.57
105,Tasiilaq,GL,2020-11-29 21:24:26,65.61,-37.64,14.0,47,0,2.24
106,Nome,US,2020-11-29 21:24:27,64.5,-165.41,12.2,66,1,5.82
107,Nelson Bay,AU,2020-11-29 21:24:27,-32.72,152.15,70.0,82,75,8.05
108,Sanming,CN,2020-11-29 21:24:27,26.25,117.62,54.75,71,98,3.65
109,Jiancheng,CN,2020-11-29 21:24:28,30.39,104.55,50.0,100,40,3.94
110,Prabumulih,ID,2020-11-29 21:24:28,-3.45,104.25,73.0,98,98,1.92
111,Leningradskiy,RU,2020-11-29 21:24:29,69.38,178.42,7.43,92,100,14.99
112,Severo-Kurilsk,RU,2020-11-29 21:24:29,50.68,156.12,29.43,93,100,7.43
113,Gushikawa,JP,2020-11-29 21:24:29,26.35,127.87,68.0,72,90,13.87
114,Bredasdorp,ZA,2020-11-29 21:24:30,-34.53,20.04,53.6,87,0,2.24
115,Khatanga,RU,2020-11-29 21:24:30,71.97,102.5,14.22,95,100,21.83
116,Wattegama,LK,2020-11-29 21:24:30,6.8,81.48,77.0,94,0,8.05
117,Port Elizabeth,ZA,2020-11-29 21:20:05,-33.92,25.57,59.0,87,0,3.36
118,Baruun-Urt,MN,2020-11-29 21:24:31,46.68,113.28,-1.12,89,0,7.65
119,Weihe,CN,2020-11-29 21:24:31,33.0,105.32,33.62,91,83,2.33
120,Ryotsu,JP,2020-11-29 21:24:32,38.08,138.43,42.8,100,75,3.36
121,Lavrentiya,RU,2020-11-29 21:24:32,65.58,-171.0,14.74,93,0,12.08
122,Rabo De Peixe,PT,2020-11-29 21:24:33,37.8,-25.58,59.0,77,20,31.09
123,Karlsfeld,DE,2020-11-29 21:24:33,48.22,11.47,30.99,87,0,4.43
124,Talara,PE,2020-11-29 21:24:33,-4.58,-81.27,70.02,77,97,14.74
125,Lokosovo,RU,2020-11-29 21:24:34,61.13,74.82,1.31,93,42,6.76
126,Jati,PK,2020-11-29 21:24:34,24.35,68.27,66.07,34,0,4.52
127,Ilulissat,GL,2020-11-29 21:24:35,69.22,-51.1,28.4,63,100,19.46
128,Goderich,CA,2020-11-29 21:24:35,43.75,-81.72,46.4,65,100,13.87
129,Zhigansk,RU,2020-11-29 21:24:35,66.77,123.37,-2.97,92,100,11.83
130,Gurlan,UZ,2020-11-29 21:24:36,41.84,60.39,28.4,73,0,16.11
131,Asau,RO,2020-11-29 21:24:36,46.43,26.4,34.0,100,75,1.12
132,Alghero,IT,2020-11-29 21:24:36,40.56,8.32,48.99,93,0,3.36
133,Miyako,JP,2020-11-29 21:24:37,39.64,141.95,37.72,77,32,4.9
134,Wyndham,US,2020-11-29 21:24:37,37.7,-77.61,59.0,58,1,6.93
135,Mataura,NZ,2020-11-29 21:24:38,-46.19,168.86,53.01,93,100,7.0
136,Erenhot,CN,2020-11-29 21:24:38,43.65,111.98,2.86,91,0,5.06
137,Codrington,AU,2020-11-29 21:24:38,-38.27,141.97,52.86,83,93,9.01
138,Nouadhibou,MR,2020-11-29 21:24:39,20.93,-17.03,68.0,72,0,8.05
139,Shingu,JP,2020-11-29 21:24:40,33.73,135.98,43.95,81,0,7.47
140,Karratha,AU,2020-11-29 21:24:40,-20.74,116.85,79.45,35,0,9.66
141,Kruisfontein,ZA,2020-11-29 21:24:40,-34.0,24.73,57.0,86,0,1.99
142,Ballina,AU,2020-11-29 21:24:41,-28.87,153.57,73.0,73,90,17.22
143,Karasjok,NO,2020-11-29 21:24:41,69.47,25.51,28.4,74,0,34.45
144,Elban,RU,2020-11-29 21:24:42,50.1,136.51,10.98,93,92,0.87
145,Arcata,US,2020-11-29 21:20:24,40.87,-124.08,61.0,76,1,6.93
146,Nanortalik,GL,2020-11-29 21:24:42,60.14,-45.24,28.76,85,100,7.07
147,Kushiro,JP,2020-11-29 21:24:43,42.98,144.37,31.21,91,0,9.57
148,Alofi,NU,2020-11-29 21:23:42,-19.06,-169.92,78.8,94,75,8.05
149,Buluang,PH,2020-11-29 21:24:43,13.31,123.34,76.03,86,51,5.82
150,Makakilo City,US,2020-11-29 21:24:44,21.35,-158.09,78.8,61,75,9.17
151,Lashio,MM,2020-11-29 21:24:44,22.93,97.75,55.45,97,0,1.72
152,Lebu,CL,2020-11-29 21:24:44,-37.62,-73.65,56.03,65,0,26.35
153,Chokurdakh,RU,2020-11-29 21:24:45,70.63,147.92,-8.25,91,98,11.18
154,Jaisalmer,IN,2020-11-29 21:24:45,26.91,70.92,59.36,30,0,2.89
155,Saint-Pierre,RE,2020-11-29 21:24:46,-21.34,55.48,71.6,78,0,2.24
156,Lagoa,PT,2020-11-29 21:24:46,39.05,-27.98,60.64,74,100,27.07
157,Tiksi,RU,2020-11-29 21:24:47,71.69,128.87,2.1,89,100,20.74
158,Ponta Do Sol,PT,2020-11-29 21:24:47,32.67,-17.1,57.2,76,75,21.92
159,Sisimiut,GL,2020-11-29 21:24:47,66.94,-53.67,22.35,94,100,2.48
160,Segou,ML,2020-11-29 21:24:48,13.43,-6.22,80.76,21,75,6.62
161,Amnat Charoen,TH,2020-11-29 21:24:48,15.92,104.75,67.03,73,45,19.26
162,Hangu,CN,2020-11-29 21:24:48,39.25,117.79,25.0,57,0,8.95
163,Barrow,US,2020-11-29 21:24:49,71.29,-156.79,3.2,77,90,5.82
164,Sur,OM,2020-11-29 21:24:49,22.57,59.53,68.94,64,0,3.38
