City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
457,Kiunga,PG,74.01,light rain,-6.12,141.29,Airport Lodge Kiunga
460,Kodinar,IN,74.62,clear sky,20.79,70.7,"Hotel Krishna Park, Kodinar"
467,Puerto Asis,CO,78.8,moderate rain,0.51,-76.5,Ayawaska Hostal
469,Bayeux,BR,82.4,broken clouds,-7.12,-34.93,Hotel Villa Rica
473,Lumeje,AO,74.62,broken clouds,-11.55,20.78,
476,Eydhafushi,MV,82.35,light rain,5.1,73.07,Soneva Fushi
479,Koumac,NC,75.63,clear sky,-20.57,164.28,Le Monitel
483,Mocuba,MZ,79.79,broken clouds,-16.84,36.99,Phama Lodge
487,Talara,PE,75.2,clear sky,-4.58,-81.27,Hostal Oro Negro
491,Srandakan,ID,79.03,light rain,-7.94,110.25,Puri Brata
509,Manacapuru,BR,84.2,broken clouds,-3.3,-60.62,Novo Hotel
510,Foz Do Iguacu,BR,75.2,broken clouds,-25.55,-54.59,Turrance Green Hotel
512,Umm Kaddadah,SD,78.94,clear sky,13.6,26.69,
518,Lulindi,TZ,79.43,few clouds,-10.82,39.13,
523,Nicoya,CR,82.4,broken clouds,10.15,-85.45,Guayacan Real
524,Bilma,NE,79.29,clear sky,18.69,12.92,Expeditions Ténére voyages
527,Riyadh,SA,77.0,few clouds,24.69,46.72,InterContinental Riyadh
528,Gamba,GA,79.95,scattered clouds,-2.65,10.0,
530,Sambava,MG,78.04,scattered clouds,-14.27,50.17,Melrose
535,Candolim,IN,84.2,light rain,15.52,73.76,Resort Terra Paraiso
536,Kapit,MY,74.3,scattered clouds,2.02,112.93,Hotel Meligai Kapit
538,Markapur,IN,72.43,overcast clouds,15.73,79.28,VIHARI GRAND INN
539,Iquique,CL,71.6,broken clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
544,Kahului,US,73.0,clear sky,20.89,-156.47,Maui Seaside Hotel
546,Thinadhoo,MV,83.21,broken clouds,0.53,72.93,
548,Padang,ID,77.63,overcast clouds,-0.95,100.35,Mercure Padang
550,Escuintla,GT,82.4,clear sky,14.3,-90.78,HOTEL SARITA
551,Sapa,PH,80.92,scattered clouds,5.15,120.32,
553,Merauke,ID,78.3,overcast clouds,-8.47,140.33,
558,Moratuwa,LK,78.8,light rain,6.77,79.88,Sa Mansion By Yoho
559,Sananduva,BR,70.45,overcast clouds,-27.95,-51.81,Grupo Temtambém
560,Sorong,ID,80.49,overcast clouds,-0.88,131.25,The Waigo Hotel
564,Auki,SB,76.51,light rain,-8.77,160.7,Auki Motel
567,Saint-Pierre,RE,80.6,light rain,-21.34,55.48,Lindsey Hôtel
578,Naifaru,MV,82.42,overcast clouds,5.44,73.37,Naifaru Residence Guest House
580,Sawtell,AU,73.4,light rain,-30.38,153.1,Boambee Waters Caravan Park
582,Binga,ZW,75.61,light rain,-17.62,27.34,Lakeview Inn Binga
585,Bulungu,CD,76.3,overcast clouds,-4.55,18.6,
586,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
594,Mogadishu,SO,80.13,overcast clouds,2.04,45.34,Hotel Juba
603,Limbang,MY,80.6,broken clouds,4.75,115.0,Purnama Hotel
607,Oistins,BB,77.0,broken clouds,13.07,-59.53,Butterfly Beach Hotel
609,Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
615,Praya,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
616,Marsabit,KE,71.15,broken clouds,2.33,37.99,Chicho Hotel
617,Abu Zabad,SD,79.27,scattered clouds,12.35,29.25,محي الدين نوري
620,Kihei,US,73.0,clear sky,20.79,-156.47,Maui Sunset
621,Llaillay,CL,81.0,clear sky,-32.85,-70.97,HOSTAL EDWARDS 454
622,La Union,PE,80.58,few clouds,-5.4,-80.75,Los Portales
623,Lucea,JM,84.0,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
624,Willowmore,ZA,70.41,clear sky,-33.29,23.49,Jumper's Place
630,Antsohihy,MG,81.48,overcast clouds,-14.88,47.99,Hotel de Ville
633,Alpinopolis,BR,79.75,moderate rain,-20.86,-46.39,Hotel Ventania
634,Puerto Escondido,MX,80.6,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
638,Nha Trang,VN,78.8,few clouds,12.25,109.18,Hanoi Golden Hotel
639,Paraiso,CR,75.99,broken clouds,9.84,-83.87,Rinconcito Verde
640,Port Blair,IN,81.01,moderate rain,11.67,92.75,Welcomhotel Bay Island Port Blair
641,Ambon,ID,84.0,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
648,Ambilobe,MG,79.86,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
650,Moron,AR,82.99,clear sky,-34.65,-58.62,Hotel Morón
658,Pinotepa Nacional,MX,84.99,clear sky,16.32,-98.02,Hotel Maria Del Carmen
660,Katobu,ID,77.32,light rain,-4.94,122.53,La Ode Husein
664,Mackay,AU,78.8,scattered clouds,-21.15,149.2,International Lodge Motel
666,Lazaro Cardenas,MX,82.22,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
667,Lichinga,MZ,71.6,scattered clouds,-13.31,35.24,Residencial Bendiak
669,Kalabo,ZM,78.84,light rain,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
671,Pemangkat,ID,79.5,overcast clouds,1.17,108.97,Kost H.Syamsuddin
673,Presidencia Roque Saenz Pena,AR,79.0,overcast clouds,-26.79,-60.44,Hotel Aconcagua
674,Beruwala,LK,79.25,light rain,6.48,79.98,The Palms Hotel
675,Bitung,ID,77.0,light rain,1.45,125.18,Peoplesight Learning Center ( PLC )
684,Le Tampon,RE,80.6,light rain,-21.27,55.52,Sud Hôtel
